drug_name,seed,method,n_train,n_test,p_raw,top_genes,raw_x_top_genes,num_factors,test_nll,pit_ks,pi90_coverage,abs_coverage_error,pi90_width,epochs_trained,best_val_loss,stopped_early,cindes_epochs_trained,cindes_best_val_loss,cindes_stopped_early,mdn_components,mdn_best_val_nll,mdn_grid_mass_mean,mdn_grid_mass_min,fit_eval_seconds,y_train_mean,y_train_sd,y_test_mean,y_test_sd,grid_min,grid_max,test_y_outside_grid_count,analysis_id,source,drug_id,analysis_unit,grid_size
WH-4-023,12349,plugin_pca_cindes,305,77,17737,2000,2000,10,1.9475171058514877,0.10221741613331986,0.922077922077922,0.02207792207792203,5.421158693536307,63,0.5902988910675049,True,63,0.5902988910675049,True,nan,nan,nan,nan,0.27034608299436513,2.1561775540983605,2.1054369364958347,2.1195927402597405,2.0712174712756783,-8.371007128380814,12.683362236577533,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12349,gaussian_elasticnet_baseline,305,77,17737,2000,2000,10,2.117157755060727,0.054956723365404324,0.8571428571428571,0.04285714285714293,4.405994259745441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.880152124998858,2.1561775540983605,2.1054369364958347,2.1195927402597405,2.0712174712756783,-8.371007128380814,12.683362236577533,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12349,pca_gaussian_baseline,305,77,17737,2000,2000,10,2.067321396185445,0.0972389223312975,0.948051948051948,0.04805194805194801,6.134835264156436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011817909980891272,2.1561775540983605,2.1054369364958347,2.1195927402597405,2.0712174712756783,-8.371007128380814,12.683362236577533,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12349,pca_mdn,305,77,17737,2000,2000,10,1.9130131261689323,0.113030705351012,0.935064935064935,0.03506493506493502,5.4781726051572734,56,1.9113918926246618,True,56,1.9113918926246618,True,3,1.9113918926246618,0.9999598823362642,0.9994619037947141,0.525205082987668,2.1561775540983605,2.1054369364958347,2.1195927402597405,2.0712174712756783,-8.371007128380814,12.683362236577533,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
GW843682X,12345,plugin_pca_cindes,305,77,17737,2000,2000,10,2.002690571271626,0.15911419167848678,0.8701298701298701,0.029870129870129936,5.625470145189013,58,0.63934326171875,True,58,0.63934326171875,True,nan,nan,nan,nan,0.2202037919923896,-2.438204193442623,1.7926687168343565,-2.493435974025974,1.8920990333113963,-11.401547777614406,6.52513939072916,0,GDSC1::87::GW843682X,GDSC1,87,source_drug,401
GW843682X,12345,gaussian_elasticnet_baseline,305,77,17737,2000,2000,10,2.034518726935387,0.14072353118059072,0.8961038961038961,0.003896103896103953,5.557241889229072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.388573042000644,-2.438204193442623,1.7926687168343565,-2.493435974025974,1.8920990333113963,-11.401547777614406,6.52513939072916,0,GDSC1::87::GW843682X,GDSC1,87,source_drug,401
GW843682X,12345,pca_gaussian_baseline,305,77,17737,2000,2000,10,2.0109519983873736,0.13945625508014836,0.8961038961038961,0.003896103896103953,5.723436857930134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001592041997355409,-2.438204193442623,1.7926687168343565,-2.493435974025974,1.8920990333113963,-11.401547777614406,6.52513939072916,0,GDSC1::87::GW843682X,GDSC1,87,source_drug,401
GW843682X,12345,pca_mdn,305,77,17737,2000,2000,10,2.005704368863787,0.10595922324272611,0.8831168831168831,0.016883116883116944,5.900459396717434,40,1.9955127818424843,True,40,1.9955127818424843,True,5,1.9955127818424843,0.9999197130758937,0.9988427081122284,0.38669329199183267,-2.438204193442623,1.7926687168343565,-2.493435974025974,1.8920990333113963,-11.401547777614406,6.52513939072916,0,GDSC1::87::GW843682X,GDSC1,87,source_drug,401
GW843682X,12346,plugin_pca_cindes,305,77,17737,2000,2000,10,2.1127455321270667,0.15153563712865104,0.7402597402597403,0.15974025974025974,4.868879872535048,91,0.6020309925079346,True,91,0.6020309925079346,True,nan,nan,nan,nan,0.3250159169983817,-2.4625789114754095,1.7788591816116217,-2.396886766233766,1.9432704609765594,-11.356874819533518,6.431716996582699,0,GDSC1::87::GW843682X,GDSC1,87,source_drug,401
GW843682X,12346,gaussian_elasticnet_baseline,305,77,17737,2000,2000,10,2.0675884411419494,0.10109102486807009,0.8701298701298701,0.029870129870129936,5.326872349620046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.8678235830011545,-2.4625789114754095,1.7788591816116217,-2.396886766233766,1.9432704609765594,-11.356874819533518,6.431716996582699,0,GDSC1::87::GW843682X,GDSC1,87,source_drug,401
