analysis_id,drug_name,delta_nll_plugin_vs_elasticnet,delta_coverage_error_plugin_vs_elasticnet,delta_nll_plugin_vs_pca_gaussian,delta_coverage_error_plugin_vs_pca_gaussian,delta_nll_plugin_vs_pca_mdn,delta_coverage_error_plugin_vs_pca_mdn
GDSC1::1061::SB590885,SB590885,-0.1319452522491209,-0.0011363636363636402,-0.0926585189600233,0.008409090909090939,0.016811993420841054,0.0024999999999999814
GDSC1::1062::Selumetinib,Selumetinib,-0.05767157410937518,0.018497109826589576,-0.04590301713994793,0.03028901734104048,0.02131465355739315,0.009248554913294814
GDSC1::1066::AZD6482,AZD6482,0.006999371984458103,-0.020000000000000018,0.005528403784847535,0.008988764044943802,0.016050195808270384,-0.008764044943820257
GDSC1::1067::CCT007093,CCT007093,-0.017409061282868787,-0.014505494505494581,-0.0075378212578491866,0.01428571428571426,0.005146351820365158,0.012527472527472498
GDSC1::1069::EHT-1864,EHT-1864,-0.000641156921520114,-0.023956043956043956,0.008197126943111366,0.002197802197802183,0.011189653378835818,-0.0028571428571427943
GDSC1::106::XMD8-85,XMD8-85,-0.1633870512260207,-0.1018181818181818,0.03763332374192685,-0.0015584415584415645,0.023598952301918885,-0.013506493506493529
GDSC1::1070::CRT0105950,CRT0105950,-0.020352517238295897,-0.015604395604395638,-0.03128015794173589,-0.010989010989010999,0.013279525232541722,0.00043956043956044216
GDSC1::1071::CRT0105446,CRT0105446,0.018639737378226107,0.01736263736263736,0.004473429069882018,0.010329670329670339,0.03429555109738858,0.011868131868131841
GDSC1::1072::Avagacestat,Avagacestat,0.004099550505579197,0.010989010989011016,0.012563739513869354,0.013846153846153897,0.01442163561894838,0.013846153846153897
GDSC1::1091::BMS-536924,BMS-536924,0.0510529167093039,-0.02592178770949724,0.018848914514242532,0.03575418994413403,0.0414004697655832,0.009162011173184388
GDSC1::110::Seliciclib,Seliciclib,0.002460009024300991,-0.018701298701298746,0.03805613004287345,0.02441558441558439,0.029385798360473725,0.003636363636363632
GDSC1::1114::Cetuximab,Cetuximab,-0.11787996740052242,0.003529411764705899,-0.14109307803588034,-0.019999999999999945,0.03403071683784997,0.005882352941176498
GDSC1::111::Salubrinal,Salubrinal,0.0214460073294227,-0.031688311688311696,0.04635725479190089,-0.0015584415584415576,0.017164251766718985,-0.004675324675324728
GDSC1::1128::FS106,FS106,-0.01354364733630109,-0.02263736263736266,-0.013847838293513881,0.00901098901098904,0.022224579571533454,0.0006593406593406806
GDSC1::1129::PF-4708671,PF-4708671,0.005807148186917965,-0.01000000000000002,0.01095368996121815,0.002222222222222219,0.015281447442367924,0.0011111111111111183
GDSC1::1133::Serdemetan,Serdemetan,-0.03269321044483853,-0.022197802197802218,-0.015148944133973385,0.003956043956043983,0.014531241487718338,0.014945054945054981
GDSC1::1135::AZD4547,AZD4547,-0.061326650609135225,-0.016043956043956073,-0.06732854252637566,-0.009670329670329639,0.022170398815000603,-0.013846153846153857
GDSC1::1136::Capivasertib,Capivasertib,0.028841926780719618,-0.048571428571428606,0.005819153923925624,0.011648351648351662,0.04548015816702322,-4.163336342344337e-17
GDSC1::1142::HG-5-113-01,HG-5-113-01,-0.08428229594210745,-0.045416666666666675,0.0064318339614168885,0.0012499999999999838,0.032929028061792875,0.0045833333333333
GDSC1::1143::HG-5-88-01,HG-5-88-01,-0.028320154565605993,-0.028749999999999998,-0.036734617191879204,0.03708333333333336,-0.020388128623539004,-0.004166666666666666
GDSC1::1149::TW 37,TW 37,-0.058851249954076534,-0.02659340659340662,-0.017891673664201857,-0.002857142857142919,0.028031409110540695,0.007032967032967002
GDSC1::1158::XMD11-85h,XMD11-85h,0.02771556896137284,-0.04541666666666666,0.05568993241193687,0.006666666666666696,0.035230435363888146,-0.007916666666666662
GDSC1::1161::ZG-10,ZG-10,-0.009715579551659026,-0.028749999999999994,-0.03395483272988864,0.014166666666666678,0.015563382072569576,-0.014166666666666685
GDSC1::1164::XMD8-92,XMD8-92,-0.010655998994709703,-0.03422680412371136,0.0066398905653886064,-0.005360824742268056,0.023768519629785878,-0.02061855670103094
GDSC1::1166::QL-VIII-58,QL-VIII-58,0.06204472099372471,-0.03917525773195879,0.009860373209170437,-0.013195876288659814,0.05184171460359077,-0.005360824742268098
GDSC1::1170::CCT-018159,CCT-018159,0.0006861867158955981,-0.027403314917127095,0.007455050702788402,0.039558011049723764,-0.0062736168052288654,0.013480662983425443
GDSC1::1175::Rucaparib,Rucaparib,0.05404505752224842,0.0076923076923076615,-0.006995493854187629,0.008131868131868142,0.016012326377478514,0.007252747252747285
GDSC1::1183::CRT0160829,CRT0160829,0.01895253317461676,0.0008791208791208184,0.0008917031572472922,0.014945054945054938,0.020506635941744067,-0.0002197802197803217
GDSC1::1184::AZ20,AZ20,0.02937551436137098,-0.00373626373626372,0.014007528031505068,0.0092307692307693,0.06043719506862355,0.007472527472527503
GDSC1::1185::KU-60019,KU-60019,0.03901177660032795,-0.01780219780219782,0.012434716306674476,0.00989010989010988,0.016544060994167387,0.009230769230769199
GDSC1::1186::FS112,FS112,-0.07211685455663219,-0.05450549450549455,-0.022761050834452456,0.010549450549450504,0.014861433548895464,0.01164835164835162
GDSC1::1187::CCT245232,CCT245232,0.025189150241405445,-0.013406593406593427,-0.0010905811778130214,0.003736263736263755,0.024983591605979738,-0.0021978021978022455
GDSC1::1188::CCT245467,CCT245467,0.04584431997381322,-0.01164835164835168,0.04227031428437655,0.011648351648351658,0.028484492836468034,0.0028571428571428394
GDSC1::1192::GSK269962A,GSK269962A,-0.023061205105318505,-0.039776536312849144,-0.016799792509729183,-0.00044692737430169875,-0.0011726080476108791,-0.01698324022346368
GDSC1::1194::SB505124,SB505124,-0.033117320712968246,0.0020111731843574995,-0.046523456621785586,0.011843575418994421,0.02303034700106421,0.006927374301675981
GDSC1::1195::FY026,FY026,0.09471297978552395,-0.0055555555555555775,-0.055152471251811885,0.01777777777777776,0.03780657534753207,-0.002222222222222278
GDSC1::1196::FY069,FY069,0.0072381147272666535,0.01899441340782122,0.00601098482658502,0.015865921787709538,0.031884442363961485,0.012290502793296118
GDSC1::1197::ZL049,ZL049,0.031524131100401975,-0.0011111111111111252,0.024650095711356457,0.008888888888888918,0.06173082674091113,-0.015555555555555538
GDSC1::1198::FY012,FY012,-0.027543715803207025,-0.04222222222222219,-0.019876231778161113,0.008888888888888901,-0.006134959183867528,0.00888888888888888
GDSC1::1199::Tamoxifen,Tamoxifen,-0.004148957095215122,0.0008938547486033212,-0.02156380153905868,-0.0013407821229050772,0.004766405288313624,-0.0004469273743017005
GDSC1::119::Lapatinib,Lapatinib,-0.14586185019385178,0.021298701298701338,-0.16532360628355125,0.005714285714285762,-0.05293308685054554,0.01038961038961042
GDSC1::11::Paclitaxel,Paclitaxel,0.06487589505246438,0.015064935064935052,-0.004595711730219776,0.025454545454545438,0.03473891727614031,0.0036363636363636737
GDSC1::1202::torin2,torin2,-0.5708275891372163,-0.1584615384615385,-0.024677931495925787,0.024615384615384622,0.1554584284726237,-0.06769230769230768
GDSC1::1203::QL-XII-61,QL-XII-61,0.04452853326837958,0.0321739130434782,0.05782190927687214,0.04913043478260866,0.09684866498452882,0.06086956521739122
GDSC1::1204::HG-6-71-01,HG-6-71-01,-0.37872896799792133,-0.08153846153846153,-0.05782020570594648,-0.0061538461538461625,0.07514696687692912,-0.010769230769230767
GDSC1::1218::JQ1,JQ1,-0.2518072595896508,0.021468926553672295,-0.22342557575188393,0.02259887005649718,0.019813012533785423,0.02892655367231642
GDSC1::1219::PFI-1,PFI-1,0.03146790092990015,-0.015555555555555566,0.005437408391797405,0.010000000000000018,0.013995763065056677,0.003333333333333341
GDSC1::1230::IOX2,IOX2,-0.1906895215605635,0.007777777777777779,-0.15255135044360824,2.0816681711721685e-17,-0.03576697841473897,0.00444444444444448
GDSC1::1232::I-BET-151,I-BET-151,-0.013126640757363806,-0.04881355932203394,-0.0042502731315736675,-0.0006779661016949601,-0.02125345590078398,-0.023954802259887102
